Country,,rgdpch1970,rgdpch2000,rgdpch2009,rgdpch1990,rgdpch1995,rgdpch2005,Growth Rate btw 1970-2009,Growth rates btw 1960 and 2009,Growth rate between 1990 and 2009,Growth rate btw 1995-2009,Growth Rate btw 2000 and 2009,Growth Rate between 2005 and 2009,rgdpch1960,1970 data,rgdpch1960,1995 data,1990 data,2000 data,africa,asia,westerneurope,,,,,,,,,,,,,,,,,
Indonesia,,859.16,2920.00,4075.34,2344.64,3139.57,3446.75,0.04072,,0.02952,0.01881,0.03774,0.04277,692.51,,692.51,,,,,1,,,,,,,,,,,,,,,,,,
Iran,,8955.03,7764.58,10624.06,6055.48,6829.63,9139.97,0.00439,,0.03003,0.03206,0.03545,0.03833,4403.94,,4403.94,,,,,,,,,,,,,,,,,,,,,,,
Iraq,,5459.59,4264.46,4714.76,7249.42,3294.70,3758.14,-0.00375,,-0.02239,0.02593,0.01122,0.05833,0.00,Iraq,5668.83,,,,,,,,,,,,,,,,,,,,,,,
Ireland,,10215.66,30776.17,33348.11,17400.85,20777.47,37036.67,0.03080,,0.03483,0.03437,0.00896,-0.02589,6970.00,,6970.00,,,,,,1,,,,,,,,,,,,,,,,,
Israel,,12417.19,23198.75,25550.34,18000.44,21079.64,23816.03,0.01867,,0.01861,0.01383,0.01079,0.01773,7093.35,,7093.35,,,,,,,,,,,,,,,,,,,,,,,
Italy,,14372.21,28883.26,27692.99,24951.36,26528.72,29377.72,0.01696,,0.00550,0.00307,-0.00466,-0.01466,8858.11,,8858.11,,,,,,1,,,,,,,,,,,,,,,,,
Jamaica,,7502.63,8695.66,8794.72,7403.46,8046.03,9011.84,0.00408,,0.00910,0.00638,0.00126,-0.00608,5609.14,,5609.14,,,,,,,,,,,,,,,,,,,,,,,
Japan,,14284.83,29638.78,30007.69,27244.46,28730.55,31261.20,0.01921,,0.00510,0.00311,0.00138,-0.01018,5850.43,,5850.43,,,,,1,,,,,,,,,,,,,,,,,,
Jordan,,2746.65,3692.45,4644.48,3803.00,3975.38,4394.62,0.01356,,0.01058,0.01117,0.02582,0.01392,2681.55,,2681.55,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,,,5111.55,11730.99,,4756.92,8935.59,#DIV/0!,,#DIV/0!,0.06660,0.09670,0.07042,0.00,,498.08,Kazakhstan,,,,,,,,,,,,,,,,,,,,,,
Kenya,,1027.20,1132.45,1206.07,1187.76,1128.62,1171.86,0.00412,,0.00081,0.00475,0.00702,0.00722,1020.12,,1020.12,,,,1,,,,,,,,,,,,,,,,,,,
Kiribati,,2800.67,3650.91,4094.46,1604.33,1541.06,3717.34,0.00979,,0.05055,0.07229,0.01282,0.02445,0.00,Kiribati,2540.81,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Republic of",,3018.88,18930.23,25033.62,11440.16,15802.59,22813.38,0.05574,,0.04208,0.03341,0.03154,0.02349,1782.05,,1782.05,,,,,1,,,,,,,,,,,,,,,,,,
Kuwait,,,38764.79,46639.37,23901.59,47208.54,49221.47,#DIV/0!,,0.03581,-0.00087,0.02076,-0.01338,0.00,,8317.97,,Kuwait,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,,,1649.38,2298.34,,1310.54,1930.07,#DIV/0!,,#DIV/0!,0.04094,0.03755,0.04462,0.00,,321.76,Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,
Laos,,632.64,1437.44,2633.87,1104.86,1312.90,1843.53,0.03725,,0.04678,0.05099,0.06960,0.09329,0.00,Laos,438.86,,,,,1,,,,,,,,,,,,,,,,,,
Latvia,,,8282.33,12753.97,,6182.59,12452.64,#DIV/0!,,#DIV/0!,0.05308,0.04914,0.00600,0.00,,1011.54,Latvia,,,,,,,,,,,,,,,,,,,,,,
Lebanon,,17689.62,8888.31,12944.58,8622.87,10159.41,10012.54,-0.00798,,0.02161,0.01746,0.04266,0.06632,0.00,Lebanon,19164.41,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,,545.97,1103.50,1311.41,906.63,988.58,1166.92,0.02272,,0.01962,0.02039,0.01936,0.02961,400.74,,400.74,,,,1,,,,,,,,,,,,,,,,,,,
Liberia,,1879.79,525.10,396.74,519.10,156.03,342.64,-0.03910,,-0.01405,0.06893,-0.03066,0.03733,0.00,Liberia,2801.17,,,,1,,,,,,,,,,,,,,,,,,,
Libya,,,17259.63,19235.12,15239.58,14617.15,18014.67,#DIV/0!,,0.01233,0.01980,0.01211,0.01652,0.00,,10551.32,,Libya,,1,,,,,,,,,,,,,,,,,,,
Lithuania,,,8933.26,14167.88,,7167.57,13239.82,#DIV/0!,,#DIV/0!,0.04988,0.05258,0.01708,0.00,,1304.79,Lithuania,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,,22789.86,62637.48,84524.63,43315.33,49748.08,71175.45,0.03418,,0.03581,0.03859,0.03386,0.04391,17353.40,,17353.40,,,,,,1,,,,,,,,,,,,,,,,,
Macao,,7426.68,22135.62,51056.60,20740.72,25058.69,37230.91,0.05067,,0.04855,0.05215,0.09731,0.08215,0.00,Macao,4530.16,,,,,,,,,,,,,,,,,,,,,,,
Macedonia,,,6336.05,7677.74,6947.73,5817.95,6613.55,#DIV/0!,,0.00527,0.02001,0.02157,0.03801,0.00,,5933.80,,Macedonia,,,,,,,,,,,,,,,,,,,,,
Madagascar,,950.33,810.87,753.19,916.88,800.15,741.61,-0.00594,,-0.01030,-0.00431,-0.00817,0.00388,841.97,Madagascar,841.97,,,,1,,,,,,,,,,,,,,,,,,,
Malawi,,694.05,544.10,611.08,567.18,532.33,517.00,-0.00326,,0.00393,0.00990,0.01298,0.04268,329.07,,329.07,,,,1,,,,,,,,,,,,,,,,,,,
Malaysia,,2095.98,9707.68,11295.98,6063.09,8687.40,10719.79,0.04414,,0.03329,0.01893,0.01698,0.01317,1470.16,,1470.16,,,,,1,,,,,,,,,,,,,,,,,,
Maldives,,731.15,3133.59,4459.98,2057.63,2362.97,4682.06,0.04746,,0.04156,0.04642,0.04000,-0.01207,0.00,Maldives,459.88,,,,,1,,,,,,,,,,,,,,,,,,
Mali,,473.63,748.17,999.49,688.73,706.02,890.59,0.01933,,0.01979,0.02514,0.03270,0.02926,541.37,,541.37,,,,1,,,,,,,,,,,,,,,,,,,
Malta,,4415.62,20089.63,21632.50,13415.77,16627.51,20635.30,0.04159,,0.02546,0.01897,0.00826,0.01187,0.00,Malta,2937.92,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,,5338.23,6940.50,7094.95,9783.14,9042.03,7525.16,0.00732,,-0.01677,-0.01717,0.00245,-0.01461,0.00,Marshall Islands,4962.69,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,1287.55,1229.91,1573.68,1269.60,1286.37,1374.35,0.00516,,0.01137,0.01450,0.02776,0.03444,586.95,,586.95,,,,1,,,,,,,,,,,,,,,,,,,
Mauritius,,1979.27,7521.34,9483.62,5012.67,5946.76,8320.86,0.04099,,0.03413,0.03390,0.02609,0.03324,2208.24,,2208.24,,,,1,,,,,,,,,,,,,,,,,,,
Mexico,,6345.24,10569.75,11628.87,8788.30,8617.76,11964.24,0.01565,,0.01485,0.02164,0.01067,-0.00708,4588.56,,4588.56,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,2278.95,3385.18,3330.40,2951.89,3682.75,3477.56,0.00978,,0.00637,-0.00716,-0.00181,-0.01075,0.00,"Micronesia, Fed. Sts.",2067.70,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,1580.04,2493.08,,1591.07,2236.68,#DIV/0!,,#DIV/0!,0.03260,0.05198,0.02750,0.00,,517.69,Moldova,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,1452.29,2148.02,3168.38,3145.71,1862.17,2604.58,0.02020,,0.00038,0.03869,0.04413,0.05021,0.00,Mongolia,1189.01,,,,,1,,,,,,,,,,,,,,,,,,
Montenegro,,,4910.02,7303.21,9127.93,3987.77,5886.65,#DIV/0!,,-0.01167,0.04417,0.04510,0.05539,0.00,,12980.95,,Montenegro,,,,,,,,,,,,,,,,,,,,,
Morocco,,1476.97,2560.11,3294.67,2348.43,2273.83,3045.38,0.02079,,0.01798,0.02684,0.02843,0.01987,736.76,,736.76,,,,1,,,,,,,,,,,,,,,,,,,
Mozambique,,412.51,437.69,759.37,405.60,359.38,634.06,0.01577,,0.03356,0.05489,0.06313,0.04612,357.70,,357.70,,,,1,,,,,,,,,,,,,,,,,,,
Namibia,,3793.53,3367.14,4777.39,3309.03,3196.93,4301.00,0.00593,,0.01952,0.02911,0.03964,0.02661,2481.49,,2481.49,,,,1,,,,,,,,,,,,,,,,,,,
Nepal,,685.99,1075.14,1211.67,867.34,963.26,1045.85,0.01469,,0.01775,0.01652,0.01337,0.03748,632.24,,632.24,,,,,1,,,,,,,,,,,,,,,,,,
Netherlands,,18596.18,34503.61,37050.73,26883.04,29074.50,35888.48,0.01783,,0.01703,0.01747,0.00795,0.00800,13017.26,,13017.26,,,,,,1,,,,,,,,,,,,,,,,,
New Zealand,,16328.53,23645.36,27864.89,19584.17,21371.69,27448.55,0.01380,,0.01873,0.01913,0.01841,0.00377,13802.20,,13802.20,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,,3669.18,2072.81,2191.73,2179.51,1857.56,2056.17,-0.01313,,0.00029,0.01189,0.00622,0.01609,2546.28,,2546.28,,,,,,,,,,,,,,,,,,,,,,,
Niger,,788.94,475.73,534.36,505.88,476.61,524.59,-0.00994,,0.00289,0.00820,0.01300,0.00463,746.19,,746.19,,,,1,,,,,,,,,,,,,,,,,,,
Nigeria,,1388.27,1135.61,2033.90,1179.95,1085.38,1543.59,0.00984,,0.02907,0.04588,0.06690,0.07139,1527.86,,1527.86,,,,1,,,,,,,,,,,,,,,,,,,
Norway,,17603.14,44833.86,49945.47,32324.17,38093.51,48707.91,0.02710,,0.02317,0.01954,0.01207,0.00629,12283.61,,12283.61,,,,,,1,,,,,,,,,,,,,,,,,
Oman,,6872.75,17402.04,20511.36,13672.08,15309.03,18399.12,0.02843,,0.02158,0.02112,0.01843,0.02754,0.00,Oman,5192.43,,,,,,,,,,,,,,,,,,,,,,,
